years_of_experience,aerodynamics_score,technological_score,Leadership Score ,Leader,,,W1,W2,W3
11,25,7,354,0,,,,,
20,7,1,177,0,,,,,
10,13,2,194,0,,,,,
0,13,4,158,0,,,,,
15,45,7,574,1,,,,,
15,37,6,487,1,,,,,
7,42,9,518,1,,,,,
10,11,10,230,0,,,,,
20,31,5,445,0,,,,,
13,19,3,276,0,,,,,
11,17,1,232,0,,,,,
6,7,6,142,0,,,,,
14,15,3,241,0,,,,,
6,15,6,222,0,,,,,
0,18,6,222,0,,,,,
17,12,8,261,0,,,,,
8,43,1,477,1,,,,,
11,17,8,281,0,,,,,
13,25,8,371,0,,,,,
19,6,7,204,0,,,,,
17,34,6,467,1,,,,,
20,29,4,418,0,,,,,
8,19,5,265,0,,,,,
13,19,10,325,0,,,,,
3,7,4,113,0,,,,,
7,8,10,185,0,,,,,
15,12,5,230,0,,,,,
19,20,1,302,0,,,,,
19,50,4,623,1,,,,,
5,39,3,436,0,,,,,
2,47,7,529,1,,,,,
9,17,9,278,0,,,,,
9,20,1,252,0,,,,,
19,45,10,615,1,,,,,
3,20,4,243,0,,,,,
3,10,5,150,0,,,,,
3,23,3,266,0,,,,,
14,38,5,485,1,,,,,
20,18,9,343,0,,,,,
16,26,8,396,0,,,,,
16,46,10,610,1,,,,,
17,9,10,245,0,,,,,
14,6,2,144,0,,,,,
9,37,8,471,1,,,,,
8,47,5,545,1,,,,,
14,9,7,209,0,,,,,
5,19,5,250,0,,,,,
2,26,2,284,0,,,,,
7,43,3,486,1,,,,,
3,14,4,183,0,,,,,
1,15,9,218,0,,,,,
17,44,8,581,1,,,,,
9,31,7,404,0,,,,,
1,19,6,237,0,,,,,
7,19,2,239,0,,,,,
19,17,10,335,0,,,,,
5,45,9,538,1,,,,,
7,13,10,235,0,,,,,
2,9,6,142,0,,,,,
8,27,8,366,0,,,,,
9,43,7,524,1,,,,,
3,13,5,180,0,,,,,
3,40,10,485,1,,,,,
11,9,9,208,0,,,,,
0,19,3,211,0,,,,,
14,9,6,202,0,,,,,
14,44,4,538,1,,,,,
1,24,10,315,0,,,,,
11,38,1,442,0,,,,,
5,34,10,435,0,,,,,
11,44,10,565,1,,,,,
8,39,9,493,1,,,,,
7,9,10,195,0,,,,,
4,49,6,552,1,,,,,
18,11,4,228,0,,,,,
1,33,9,398,0,,,,,
5,16,4,213,0,,,,,
11,10,3,176,0,,,,,
2,49,3,521,1,,,,,
17,7,10,225,0,,,,,
11,15,2,219,0,,,,,
19,8,9,238,0,,,,,
3,49,3,526,1,,,,,
4,9,1,117,0,,,,,
2,24,9,313,0,,,,,
16,22,5,335,0,,,,,
13,7,5,170,0,,,,,
6,39,3,441,0,,,,,
20,11,7,259,0,,,,,
20,37,10,540,1,,,,,
0,13,9,193,0,,,,,
10,15,7,249,0,,,,,
17,33,2,429,0,,,,,
0,31,4,338,0,,,,,
7,20,1,242,0,,,,,
6,43,6,502,1,,,,,
8,8,10,190,0,,,,,
5,18,9,268,0,,,,,
6,40,5,465,1,,,,,
2,29,7,349,0,,,,,
19,27,6,407,0,,,,,
13,34,8,461,1,,,,,
9,21,4,283,0,,,,,
12,43,4,518,1,,,,,
13,33,8,451,1,,,,,
17,39,1,482,1,,,,,
1,17,9,238,0,,,,,
19,38,9,538,1,,,,,
13,38,10,515,1,,,,,
15,40,4,503,1,,,,,
4,15,1,177,0,,,,,
4,46,8,536,1,,,,,
12,20,8,316,0,,,,,
8,34,8,436,0,,,,,
15,44,9,578,1,,,,,
17,19,5,310,0,,,,,
7,34,7,424,0,,,,,
2,11,6,162,0,,,,,
6,15,7,229,0,,,,,
11,38,5,470,1,,,,,
17,36,7,494,1,,,,,
12,46,8,576,1,,,,,
9,29,4,363,0,,,,,
0,46,10,530,1,,,,,
15,39,4,493,1,,,,,
1,19,4,223,0,,,,,
7,50,2,549,1,,,,,
19,34,3,456,1,,,,,
0,35,8,406,0,,,,,
9,36,5,440,0,,,,,
3,30,10,385,0,,,,,
8,43,5,505,1,,,,,
12,43,8,546,1,,,,,
15,22,1,302,0,,,,,
10,43,2,494,1,,,,,
2,21,7,269,0,,,,,
16,20,4,308,0,,,,,
7,27,7,354,0,,,,,
6,14,1,177,0,,,,,
13,42,7,534,1,,,,,
19,28,10,445,0,,,,,
16,17,3,271,0,,,,,
14,30,4,398,0,,,,,
3,46,8,531,1,,,,,
9,17,4,243,0,,,,,
10,16,4,238,0,,,,,
10,31,1,367,0,,,,,
0,17,5,205,0,,,,,
15,35,5,460,1,,,,,
14,29,9,423,0,,,,,
9,8,10,195,0,,,,,
7,25,6,327,0,,,,,
11,30,8,411,0,,,,,
0,13,10,200,0,,,,,
19,42,6,557,1,,,,,
9,44,2,499,1,,,,,
1,6,6,107,0,,,,,
1,37,8,431,0,,,,,
8,45,3,511,1,,,,,
17,5,1,142,0,,,,,
8,48,10,590,1,,,,,
1,20,6,247,0,,,,,
10,38,2,444,0,,,,,
8,23,1,277,0,,,,,
1,45,2,469,1,,,,,
7,27,2,319,0,,,,,
7,42,9,518,1,,,,,
20,14,2,254,0,,,,,
16,48,6,602,1,,,,,
20,30,1,407,0,,,,,
0,41,6,452,1,,,,,
10,20,1,257,0,,,,,
11,11,4,193,0,,,,,
15,12,6,237,0,,,,,
16,39,6,512,1,,,,,
17,24,4,353,0,,,,,
19,11,7,254,0,,,,,
14,33,4,428,0,,,,,
2,38,1,397,0,,,,,
13,32,3,406,0,,,,,
5,38,1,412,0,,,,,
7,33,5,400,0,,,,,
19,30,7,444,0,,,,,
15,49,6,607,1,,,,,
14,12,1,197,0,,,,,
8,24,1,287,0,,,,,
8,33,10,440,0,,,,,
1,50,2,519,1,,,,,
2,41,10,490,1,,,,,
7,33,2,379,0,,,,,
13,15,10,285,0,,,,,
13,5,4,143,0,,,,,
1,36,6,407,0,,,,,
11,46,6,557,1,,,,,
17,35,6,477,1,,,,,
6,37,6,442,0,,,,,
3,14,9,218,0,,,,,
19,49,6,627,1,,,,,
3,46,1,482,1,,,,,
6,16,1,197,0,,,,,
19,24,4,363,0,,,,,
20,31,8,466,1,,,,,
6,28,4,338,0,,,,,
15,7,3,166,0,,,,,
20,37,2,484,1,,,,,
20,15,3,271,0,,,,,
13,12,2,199,0,,,,,
3,7,9,148,0,,,,,
11,24,5,330,0,,,,,
3,26,1,282,0,,,,,
0,23,10,300,0,,,,,
16,8,9,223,0,,,,,
2,8,6,132,0,,,,,
18,12,6,252,0,,,,,
15,24,9,378,0,,,,,
1,40,4,433,0,,,,,
18,18,7,319,0,,,,,
17,17,8,311,0,,,,,
17,12,9,268,0,,,,,
2,33,5,375,0,,,,,
11,13,6,227,0,,,,,
1,19,2,209,0,,,,,
15,45,7,574,1,,,,,
19,16,7,304,0,,,,,
9,7,5,150,0,,,,,
17,22,7,354,0,,,,,
14,13,4,228,0,,,,,
14,33,4,428,0,,,,,
20,20,2,314,0,,,,,
19,37,9,528,1,,,,,
10,36,8,466,1,,,,,
5,23,2,269,0,,,,,
18,42,6,552,1,,,,,
8,28,9,383,0,,,,,
7,39,10,495,1,,,,,
14,35,1,427,0,,,,,
0,18,3,201,0,,,,,
19,28,7,424,0,,,,,
14,21,8,336,0,,,,,
15,38,6,497,1,,,,,
11,36,4,443,0,,,,,
16,34,10,490,1,,,,,
2,43,7,489,1,,,,,
1,32,10,395,0,,,,,
17,37,10,525,1,,,,,
10,26,3,331,0,,,,,
20,39,6,532,1,,,,,
10,9,3,161,0,,,,,
3,5,9,128,0,,,,,
4,27,5,325,0,,,,,
14,39,5,495,1,,,,,
16,29,2,384,0,,,,,
2,19,7,249,0,,,,,
11,27,1,332,0,,,,,
6,17,7,249,0,,,,,
19,45,8,601,1,,,,,
12,50,3,581,1,,,,,
13,44,6,547,1,,,,,
6,7,10,170,0,,,,,
17,13,10,285,0,,,,,
16,28,4,388,0,,,,,
20,20,6,342,0,,,,,
15,18,5,290,0,,,,,
5,48,8,561,1,,,,,
10,18,2,244,0,,,,,
4,43,8,506,1,,,,,
11,10,2,169,0,,,,,
15,14,5,250,0,,,,,
18,16,1,257,0,,,,,
19,23,3,346,0,,,,,
2,19,4,228,0,,,,,
9,33,1,382,0,,,,,
14,35,4,448,0,,,,,
0,6,6,102,0,,,,,
1,6,3,86,0,,,,,
7,46,5,530,1,,,,,
3,18,1,202,0,,,,,
19,23,4,353,0,,,,,
16,42,9,563,1,,,,,
18,8,7,219,0,,,,,
14,25,6,362,0,,,,,
7,31,10,415,0,,,,,
0,35,5,385,0,,,,,
3,20,6,257,0,,,,,
14,24,6,352,0,,,,,
7,17,7,254,0,,,,,
0,31,4,338,0,,,,,
11,8,2,149,0,,,,,
4,16,7,229,0,,,,,
8,46,3,521,1,,,,,
5,47,9,558,1,,,,,
8,11,8,206,0,,,,,
9,35,6,437,0,,,,,
0,26,6,302,0,,,,,
9,39,7,484,1,,,,,
10,24,8,346,0,,,,,
19,47,4,593,1,,,,,
17,38,8,521,1,,,,,
7,25,3,306,0,,,,,
18,23,1,327,0,,,,,
15,14,5,250,0,,,,,
16,18,10,330,0,,,,,
2,23,8,296,0,,,,,
16,23,3,331,0,,,,,
16,27,10,420,0,,,,,
10,30,1,357,0,,,,,
8,42,1,467,1,,,,,
20,18,6,322,0,,,,,
11,36,5,450,0,,,,,
14,16,10,300,0,,,,,
16,31,1,397,0,,,,,
8,44,7,529,1,,,,,
3,48,9,558,1,,,,,
0,49,6,532,1,,,,,
8,14,6,222,0,,,,,
8,50,2,554,1,,,,,
5,14,8,221,0,,,,,
5,29,6,357,0,,,,,
17,30,2,399,0,,,,,
11,23,5,320,0,,,,,
13,7,4,163,0,,,,,
6,37,10,470,1,,,,,
0,12,9,183,0,,,,,
2,14,6,192,0,,,,,
2,10,3,131,0,,,,,
14,27,6,382,0,,,,,
20,46,7,609,1,,,,,
17,43,1,522,1,,,,,
6,28,8,366,0,,,,,
20,30,7,449,0,,,,,
14,12,5,225,0,,,,,
11,47,4,553,1,,,,,
19,10,7,244,0,,,,,
5,18,10,275,0,,,,,
13,28,1,352,0,,,,,
7,48,3,536,1,,,,,
14,6,10,200,0,,,,,
10,31,8,416,0,,,,,
17,49,6,617,1,,,,,
17,48,4,593,1,,,,,
5,49,2,529,1,,,,,
0,26,3,281,0,,,,,
20,18,7,329,0,,,,,
10,26,5,345,0,,,,,
1,27,1,282,0,,,,,
6,23,6,302,0,,,,,
3,45,3,486,1,,,,,
19,32,3,436,0,,,,,
0,5,6,92,0,,,,,
2,17,4,208,0,,,,,
4,19,2,224,0,,,,,
15,43,6,547,1,,,,,
8,48,3,541,1,,,,,
15,45,2,539,1,,,,,
5,12,4,173,0,,,,,
3,17,9,248,0,,,,,
6,16,2,204,0,,,,,
1,27,8,331,0,,,,,
13,9,10,225,0,,,,,
8,39,4,458,1,,,,,
12,18,8,296,0,,,,,
12,24,6,342,0,,,,,
8,27,1,317,0,,,,,
2,17,9,243,0,,,,,
14,42,10,560,1,,,,,
1,37,10,445,0,,,,,
16,6,2,154,0,,,,,
1,37,2,389,0,,,,,
12,29,4,378,0,,,,,
16,47,1,557,1,,,,,
18,6,7,199,0,,,,,
15,39,2,479,1,,,,,
16,42,1,507,1,,,,,
19,39,9,548,1,,,,,
0,24,1,247,0,,,,,
8,18,4,248,0,,,,,
13,26,3,346,0,,,,,
8,7,3,131,0,,,,,
3,24,7,304,0,,,,,
9,49,2,549,1,,,,,
1,8,3,106,0,,,,,
15,9,1,172,0,,,,,
11,22,3,296,0,,,,,
19,5,9,208,0,,,,,
17,45,5,570,1,,,,,
19,13,10,295,0,,,,,
5,48,2,519,1,,,,,
0,38,4,408,0,,,,,
15,46,2,549,1,,,,,
7,39,4,453,1,,,,,
11,21,10,335,0,,,,,
3,42,3,456,1,,,,,
7,30,4,363,0,,,,,
7,6,10,165,0,,,,,
7,26,2,309,0,,,,,
4,44,7,509,1,,,,,
18,37,4,488,1,,,,,
18,25,10,410,0,,,,,
5,7,8,151,0,,,,,
15,28,4,383,0,,,,,
1,8,3,106,0,,,,,
19,42,2,529,1,,,,,
5,23,3,276,0,,,,,
6,25,7,329,0,,,,,
16,16,3,261,0,,,,,
0,29,4,318,0,,,,,
20,11,10,280,0,,,,,
19,30,3,416,0,,,,,
3,44,9,518,1,,,,,
19,33,3,446,0,,,,,
6,45,5,515,1,,,,,
9,36,3,426,0,,,,,
7,35,10,455,1,,,,,
10,49,9,603,1,,,,,
2,30,2,324,0,,,,,
9,34,2,399,0,,,,,
0,23,1,237,0,,,,,
6,38,8,466,1,,,,,
13,24,10,375,0,,,,,
19,5,1,152,0,,,,,
10,25,2,314,0,,,,,
5,22,3,266,0,,,,,
0,31,2,324,0,,,,,
8,38,9,483,1,,,,,
20,7,10,240,0,,,,,
9,23,10,345,0,,,,,
1,26,9,328,0,,,,,
15,26,1,342,0,,,,,
2,38,2,404,0,,,,,
11,45,9,568,1,,,,,
2,15,5,195,0,,,,,
14,26,8,386,0,,,,,
20,49,4,618,1,,,,,
5,49,7,564,1,,,,,
12,10,9,223,0,,,,,
12,21,9,333,0,,,,,
17,49,3,596,1,,,,,
17,27,6,397,0,,,,,
6,29,9,383,0,,,,,
16,33,3,431,0,,,,,
8,9,9,193,0,,,,,
12,25,9,373,0,,,,,
11,44,1,502,1,,,,,
6,47,9,563,1,,,,,
1,45,9,518,1,,,,,
11,25,5,340,0,,,,,
16,6,2,154,0,,,,,
14,38,2,464,1,,,,,
8,19,9,293,0,,,,,
5,27,1,302,0,,,,,
11,44,4,523,1,,,,,
10,48,9,593,1,,,,,
16,30,8,436,0,,,,,
7,35,9,448,0,,,,,
2,7,5,115,0,,,,,
5,32,9,408,0,,,,,
17,26,4,373,0,,,,,
13,8,9,208,0,,,,,
8,12,3,181,0,,,,,
19,43,9,588,1,,,,,
19,38,10,545,1,,,,,
17,44,4,553,1,,,,,
17,39,10,545,1,,,,,
14,48,10,620,1,,,,,
6,28,9,373,0,,,,,
6,10,7,179,0,,,,,
3,46,6,517,1,,,,,
9,24,10,355,0,,,,,
12,26,5,355,0,,,,,
16,24,3,341,0,,,,,
11,8,10,205,0,,,,,
20,19,5,325,0,,,,,
18,15,4,268,0,,,,,
13,37,1,442,0,,,,,
1,28,4,313,0,,,,,
8,8,3,141,0,,,,,
18,50,4,618,1,,,,,
4,18,1,207,0,,,,,
14,30,4,398,0,,,,,
4,15,5,205,0,,,,,
13,40,7,514,1,,,,,
14,32,6,432,0,,,,,
7,20,7,284,0,,,,,
5,19,4,243,0,,,,,
11,29,8,401,0,,,,,
19,22,6,357,0,,,,,
1,47,9,538,1,,,,,
0,8,4,108,0,,,,,
6,6,10,160,0,,,,,
14,32,9,453,1,,,,,
6,14,2,184,0,,,,,
13,33,4,423,0,,,,,
5,26,10,355,0,,,,,
14,34,5,445,0,,,,,
3,48,10,565,1,,,,,
4,14,4,188,0,,,,,
16,40,6,522,1,,,,,
15,46,3,556,1,,,,,
1,15,5,190,0,,,,,
13,31,6,417,0,,,,,
7,13,1,172,0,,,,,
0,29,3,311,0,,,,,
10,36,5,445,0,,,,,
8,10,10,210,0,,,,,
20,13,5,265,0,,,,,
5,12,7,194,0,,,,,
0,44,9,503,1,,,,,
15,8,4,183,0,,,,,
9,21,5,290,0,,,,,
14,20,10,340,0,,,,,
17,8,1,172,0,,,,,
20,35,9,513,1,,,,,
1,34,7,394,0,,,,,
1,46,2,479,1,,,,,
9,47,5,550,1,,,,,
19,46,1,562,1,,,,,
3,41,5,460,1,,,,,
2,21,1,227,0,,,,,
11,15,6,247,0,,,,,
2,50,3,531,1,,,,,
16,19,3,291,0,,,,,
17,34,6,467,1,,,,,
18,26,9,413,0,,,,,
20,30,3,421,0,,,,,
5,18,4,233,0,,,,,
3,37,8,441,0,,,,,
15,28,7,404,0,,,,,
0,33,5,365,0,,,,,
6,49,6,562,1,,,,,
14,22,8,346,0,,,,,
9,50,7,594,1,,,,,
8,26,2,314,0,,,,,
7,41,3,466,1,,,,,
12,19,1,257,0,,,,,
2,50,5,545,1,,,,,
20,6,10,230,0,,,,,
15,44,10,585,1,,,,,
8,33,10,440,0,,,,,
7,39,6,467,1,,,,,
0,31,8,366,0,,,,,
16,27,8,406,0,,,,,
12,43,9,553,1,,,,,
19,8,8,231,0,,,,,
18,9,7,229,0,,,,,
9,27,8,371,0,,,,,
11,22,10,345,0,,,,,
15,34,5,450,0,,,,,
7,24,2,289,0,,,,,
8,11,2,164,0,,,,,
18,21,4,328,0,,,,,
13,45,7,564,1,,,,,
1,22,1,232,0,,,,,
12,30,2,374,0,,,,,
4,26,2,294,0,,,,,
5,44,7,514,1,,,,,
20,16,8,316,0,,,,,
18,45,3,561,1,,,,,
14,34,2,424,0,,,,,
1,24,7,294,0,,,,,
14,33,4,428,0,,,,,
3,40,3,436,0,,,,,
7,45,7,534,1,,,,,
0,6,9,123,0,,,,,
5,43,10,525,1,,,,,
7,42,5,490,1,,,,,
16,39,6,512,1,,,,,
0,44,10,510,1,,,,,
2,22,1,237,0,,,,,
14,33,1,407,0,,,,,
11,21,7,314,0,,,,,
3,10,10,185,0,,,,,
10,19,2,254,0,,,,,
7,36,6,437,0,,,,,
8,43,6,512,1,,,,,
19,5,8,201,0,,,,,
12,21,4,298,0,,,,,
1,43,1,442,0,,,,,
16,35,7,479,1,,,,,
15,21,4,313,0,,,,,
13,22,1,292,0,,,,,
3,10,6,157,0,,,,,
12,25,1,317,0,,,,,
17,35,4,463,1,,,,,
2,22,7,279,0,,,,,
16,33,5,445,0,,,,,
16,9,4,198,0,,,,,
13,36,4,453,1,,,,,
3,35,4,393,0,,,,,
17,45,10,605,1,,,,,
20,29,7,439,0,,,,,
4,38,9,463,1,,,,,
7,10,8,191,0,,,,,
15,20,2,289,0,,,,,
11,44,2,509,1,,,,,
4,27,5,325,0,,,,,
5,34,2,379,0,,,,,
5,18,5,240,0,,,,,
15,36,10,505,1,,,,,
3,12,10,205,0,,,,,
11,17,10,295,0,,,,,
0,31,3,331,0,,,,,
1,25,6,297,0,,,,,
10,43,7,529,1,,,,,
8,49,7,579,1,,,,,
14,36,3,451,1,,,,,
2,22,9,293,0,,,,,
19,26,2,369,0,,,,,
20,38,2,494,1,,,,,
20,16,1,267,0,,,,,
3,38,7,444,0,,,,,
8,28,1,327,0,,,,,
13,21,6,317,0,,,,,
18,47,1,567,1,,,,,
3,48,2,509,1,,,,,
16,28,8,416,0,,,,,
18,22,2,324,0,,,,,
6,21,5,275,0,,,,,
18,49,8,636,1,,,,,
15,42,4,523,1,,,,,
13,29,9,418,0,,,,,
6,44,1,477,1,,,,,
8,40,10,510,1,,,,,
7,13,3,186,0,,,,,
1,30,8,361,0,,,,,
20,37,4,498,1,,,,,
7,30,3,356,0,,,,,
19,49,8,641,1,,,,,
9,21,3,276,0,,,,,
15,45,9,588,1,,,,,
3,46,2,489,1,,,,,
20,18,3,301,0,,,,,
2,21,7,269,0,,,,,
17,21,1,302,0,,,,,
7,25,4,313,0,,,,,
3,22,3,256,0,,,,,
9,20,3,266,0,,,,,
4,34,1,367,0,,,,,
0,44,7,489,1,,,,,
11,41,8,521,1,,,,,
6,36,5,425,0,,,,,
14,10,10,240,0,,,,,
16,10,2,194,0,,,,,
2,23,5,275,0,,,,,
3,24,2,269,0,,,,,
17,37,5,490,1,,,,,
0,49,6,532,1,,,,,
5,48,6,547,1,,,,,
4,22,2,254,0,,,,,
9,26,8,361,0,,,,,
10,22,1,277,0,,,,,
10,28,3,351,0,,,,,
13,43,6,537,1,,,,,
3,27,2,299,0,,,,,
9,38,10,495,1,,,,,
14,20,5,305,0,,,,,
20,42,4,548,1,,,,,
11,30,7,404,0,,,,,
19,11,5,240,0,,,,,
0,50,1,507,1,,,,,
5,24,4,293,0,,,,,
13,45,6,557,1,,,,,
11,11,7,214,0,,,,,
1,36,3,386,0,,,,,
18,39,9,543,1,,,,,
1,41,4,443,0,,,,,
11,50,1,562,1,,,,,
17,47,4,583,1,,,,,
2,23,2,254,0,,,,,
15,42,7,544,1,,,,,
15,16,8,291,0,,,,,
7,26,9,358,0,,,,,
13,22,2,299,0,,,,,
9,24,1,292,0,,,,,
19,46,8,611,1,,,,,
5,12,5,180,0,,,,,
7,44,9,538,1,,,,,
18,12,3,231,0,,,,,
15,27,10,415,0,,,,,
3,35,3,386,0,,,,,
18,17,8,316,0,,,,,
6,23,9,323,0,,,,,
15,12,4,223,0,,,,,
14,31,6,422,0,,,,,
0,33,1,337,0,,,,,
6,9,9,183,0,,,,,
0,32,3,341,0,,,,,
19,18,7,324,0,,,,,
15,44,5,550,1,,,,,
18,22,2,324,0,,,,,
15,39,3,486,1,,,,,
8,31,8,406,0,,,,,
16,11,4,218,0,,,,,
7,29,1,332,0,,,,,
3,11,2,139,0,,,,,
5,47,4,523,1,,,,,
20,6,6,202,0,,,,,
5,40,4,453,1,,,,,
8,23,10,340,0,,,,,
19,34,1,442,0,,,,,
19,5,5,180,0,,,,,
3,11,10,195,0,,,,,
17,15,3,256,0,,,,,
8,24,3,301,0,,,,,
13,44,7,554,1,,,,,
15,6,7,184,0,,,,,
5,23,8,311,0,,,,,
19,5,5,180,0,,,,,
6,33,8,416,0,,,,,
12,18,2,254,0,,,,,
6,40,7,479,1,,,,,
17,22,9,368,0,,,,,
18,33,8,476,1,,,,,
10,17,10,290,0,,,,,
18,39,9,543,1,,,,,
11,48,2,549,1,,,,,
15,16,1,242,0,,,,,
3,33,7,394,0,,,,,
13,44,4,533,1,,,,,
19,27,8,421,0,,,,,
1,50,6,547,1,,,,,
9,36,1,412,0,,,,,
1,35,3,376,0,,,,,
11,44,5,530,1,,,,,
2,30,6,352,0,,,,,
0,12,5,155,0,,,,,
6,13,10,230,0,,,,,
16,18,2,274,0,,,,,
18,6,8,206,0,,,,,
15,40,4,503,1,,,,,
11,30,10,425,0,,,,,
5,34,10,435,0,,,,,
1,20,9,268,0,,,,,
20,12,6,262,0,,,,,
12,49,7,599,1,,,,,
12,10,8,216,0,,,,,
7,9,9,188,0,,,,,
13,20,2,279,0,,,,,
0,6,6,102,0,,,,,
20,38,3,501,1,,,,,
20,5,6,192,0,,,,,
14,35,7,469,1,,,,,
6,12,2,164,0,,,,,
9,20,9,308,0,,,,,
8,16,1,207,0,,,,,
7,18,9,278,0,,,,,
11,35,5,440,0,,,,,
12,38,6,482,1,,,,,
10,14,3,211,0,,,,,
8,43,8,526,1,,,,,
12,42,4,508,1,,,,,
10,19,10,310,0,,,,,
18,36,3,471,1,,,,,
15,49,1,572,1,,,,,
20,9,10,260,0,,,,,
20,36,8,516,1,,,,,
20,24,2,354,0,,,,,
7,11,8,201,0,,,,,
15,10,7,224,0,,,,,
5,35,7,424,0,,,,,
9,16,9,268,0,,,,,
15,40,6,517,1,,,,,
19,28,5,410,0,,,,,
0,37,7,419,0,,,,,
18,43,9,583,1,,,,,
5,24,5,300,0,,,,,
19,21,2,319,0,,,,,
17,40,2,499,1,,,,,
6,44,1,477,1,,,,,
10,13,9,243,0,,,,,
19,47,3,586,1,,,,,
19,19,7,334,0,,,,,
13,43,8,551,1,,,,,
13,34,7,454,1,,,,,
2,19,3,221,0,,,,,
20,17,3,291,0,,,,,
18,12,10,280,0,,,,,
8,45,2,504,1,,,,,
2,27,3,301,0,,,,,
13,6,8,181,0,,,,,
11,9,5,180,0,,,,,
0,23,5,265,0,,,,,
12,13,8,246,0,,,,,
1,50,1,512,1,,,,,
17,10,1,192,0,,,,,
19,22,1,322,0,,,,,
15,21,7,334,0,,,,,
13,45,9,578,1,,,,,
12,25,10,380,0,,,,,
15,48,9,618,1,,,,,
12,35,8,466,1,,,,,
3,8,4,123,0,,,,,
20,40,10,570,1,,,,,
8,32,6,402,0,,,,,
15,46,5,570,1,,,,,
1,48,9,548,1,,,,,
14,34,9,473,1,,,,,
1,24,6,287,0,,,,,
9,20,6,287,0,,,,,
0,10,5,135,0,,,,,
18,24,3,351,0,,,,,
11,43,2,499,1,,,,,
14,46,7,579,1,,,,,
12,42,8,536,1,,,,,
7,30,1,342,0,,,,,
17,21,4,323,0,,,,,
0,15,1,157,0,,,,,
16,25,10,400,0,,,,,
2,41,10,490,1,,,,,
19,41,8,561,1,,,,,
2,37,3,401,0,,,,,
4,40,8,476,1,,,,,
4,17,2,204,0,,,,,
14,44,4,538,1,,,,,
14,40,7,519,1,,,,,
5,33,6,397,0,,,,,
13,34,4,433,0,,,,,
1,30,9,368,0,,,,,
6,50,5,565,1,,,,,
6,40,5,465,1,,,,,
17,27,8,411,0,,,,,
1,35,10,425,0,,,,,
1,38,7,434,0,,,,,
9,16,3,226,0,,,,,
14,33,7,449,0,,,,,
2,19,1,207,0,,,,,
17,18,4,293,0,,,,,
20,23,7,379,0,,,,,
19,46,4,583,1,,,,,
20,28,10,450,0,,,,,
12,23,6,332,0,,,,,
0,25,9,313,0,,,,,
17,5,8,191,0,,,,,
5,35,7,424,0,,,,,
3,23,7,294,0,,,,,
17,46,9,608,1,,,,,
13,45,6,557,1,,,,,
16,46,9,603,1,,,,,
20,6,4,188,0,,,,,
10,22,6,312,0,,,,,
18,29,8,436,0,,,,,
9,34,4,413,0,,,,,
14,33,6,442,0,,,,,
17,24,2,339,0,,,,,
19,49,5,620,1,,,,,
5,28,2,319,0,,,,,
3,17,7,234,0,,,,,
19,25,4,373,0,,,,,
8,45,9,553,1,,,,,
7,5,10,155,0,,,,,
18,28,4,398,0,,,,,
17,8,10,235,0,,,,,
1,15,1,162,0,,,,,
12,29,4,378,0,,,,,
3,22,7,284,0,,,,,
16,44,5,555,1,,,,,
1,6,2,79,0,,,,,
1,49,9,558,1,,,,,
8,29,9,393,0,,,,,
20,18,4,308,0,,,,,
1,42,4,453,1,,,,,
6,46,7,539,1,,,,,
17,43,4,543,1,,,,,
1,41,9,478,1,,,,,
2,18,4,218,0,,,,,
8,20,3,261,0,,,,,
16,42,7,549,1,,,,,
20,38,8,536,1,,,,,
16,21,7,339,0,,,,,
19,13,8,281,0,,,,,
11,29,1,352,0,,,,,
11,47,1,532,1,,,,,
17,16,10,315,0,,,,,
17,18,3,286,0,,,,,
11,36,6,457,1,,,,,
9,25,6,337,0,,,,,
4,39,5,445,0,,,,,
11,23,7,334,0,,,,,
11,6,10,185,0,,,,,
17,6,7,194,0,,,,,
20,48,5,615,1,,,,,
12,23,2,304,0,,,,,
12,33,6,432,0,,,,,
11,38,10,505,1,,,,,
4,30,7,369,0,,,,,
18,17,3,281,0,,,,,
8,20,3,261,0,,,,,
1,47,5,510,1,,,,,
14,39,5,495,1,,,,,
20,16,8,316,0,,,,,
6,6,8,146,0,,,,,
10,43,6,522,1,,,,,
18,36,10,520,1,,,,,
18,25,3,361,0,,,,,
5,17,3,216,0,,,,,
2,19,5,235,0,,,,,
12,35,8,466,1,,,,,
0,46,5,495,1,,,,,
17,8,2,179,0,,,,,
4,29,2,324,0,,,,,
11,36,4,443,0,,,,,
14,35,9,483,1,,,,,
19,13,2,239,0,,,,,
8,12,1,167,0,,,,,
16,8,4,188,0,,,,,
17,49,10,645,1,,,,,
10,38,10,500,1,,,,,
0,34,1,347,0,,,,,
8,39,5,465,1,,,,,
16,18,3,281,0,,,,,
18,15,7,289,0,,,,,
10,23,7,329,0,,,,,
4,41,10,500,1,,,,,
17,17,9,318,0,,,,,
17,15,7,284,0,,,,,
3,34,2,369,0,,,,,
9,35,2,409,0,,,,,
15,39,2,479,1,,,,,
13,28,10,415,0,,,,,
17,14,10,295,0,,,,,
13,39,6,497,1,,,,,
7,26,5,330,0,,,,,
12,20,3,281,0,,,,,
16,40,8,536,1,,,,,
7,10,6,177,0,,,,,
0,42,10,490,1,,,,,
4,22,1,247,0,,,,,
18,15,8,296,0,,,,,
9,37,7,464,1,,,,,
15,35,4,453,1,,,,,
15,20,3,296,0,,,,,
